Entity,Code,Year,"Hospital beds (per 1,000 people)",time
Afghanistan,AFG,2019,0.38,2019
Albania,ALB,2019,2.85,2019
Algeria,,,1.63,2017
Andorra,,,,2019
Angola,AGO,2019,0.75,2019
Antigua and Barbuda,,,3.29,2020
Argentina,ARG,2019,3.71,2019
Armenia,ARM,2019,4.18,2019
Australia,,,3.84,2016
Austria,AUT,2019,7.19,2019
Azerbaijan,AZE,2019,3.9,2019
Bahamas,BHS,2019,2.7,2019
Bahrain,BHR,2019,1.74,2019
Bangladesh,BGD,2019,0.88,2019
Barbados,BRB,2019,5.74,2019
Belarus,BLR,2019,9.69,2019
Belgium,BEL,2019,5.56,2019
Belize,,,1.03,2018
Benin,BEN,2019,0.42,2019
Bhutan,BTN,2019,2.08,2019
Bolivia,BOL,2019,1.26,2019
Bosnia and Herzegovina,BIH,2019,2.34,2019
Botswana,BWA,2019,2.3,2019
Brazil,BRA,2019,2.24,2019
Brunei,BRN,2019,3.7,2019
Bulgaria,BGR,2019,7.66,2019
Burkina Faso,,,0.2,2020
Burundi,,,0.71,2014
Cambodia,,,0.74,2018
Cameroon,,,2.65,2016
Canada,CAN,2019,2.53,2019
Cape Verde,,,1.97,2018
Central African Republic,,,,2019
Chad,,,0.45,2017
Chile,CHL,2019,2.04,2019
China,CHN,2019,4.83,2019
Colombia,COL,2019,1.74,2019
Comoros,,,,2019
Congo,,,,2019
Costa Rica,CRI,2019,1.09,2019
Cote d'Ivoire,,,,2019
Croatia,HRV,2019,5.58,2019
Cuba,CUB,2019,4.17,2019
Cyprus,CYP,2019,2.24,2019
Czechia,CZE,2019,6.66,2019
Democratic Republic of Congo,,,,2019
Denmark,DNK,2019,2.6,2019
Djibouti,,,1.42,2018
Dominica,DMA,2019,3.02,2019
Dominican Republic,DOM,2019,1.25,2019
East Timor,,,,2019
Ecuador,ECU,2019,1.39,2019
Egypt,EGY,2019,1.22,2019
El Salvador,SLV,2019,1.06,2019
Equatorial Guinea,,,,2019
Eritrea,ERI,2019,1.01,2019
Estonia,EST,2019,4.53,2019
Eswatini,,,,2019
Ethiopia,,,0.33,2016
Fiji,,,1.89,2017
